标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
LOL全球十大顶级操作怪！十大天花板操作名场面,卡西斯特利娅莎,BV1SDikYvEtV,2024-12-07 11:03:52,15:27,1696,4937,418691,1237,电子竞技,"Faker,Uzi,Zeus,Knight,Canyon,Theshy,Caps,Oner,Chovy,英雄联盟双城激励计划,LOL双城之战大乱斗",LOL全球十大顶级操作怪！十大天花板操作名场面
【2025LPL第二赛段】3月23日 JDG vs IG,哔哩哔哩英雄联盟赛事,BV1WLXaYqEn9,2025-03-23 20:00:20,57:15,5345,8024,763265,996,电子竞技,"英雄联盟,IG,电子竞技,LPL,游戏赛事,lol,JDG,2025LPL,LPL第二赛段,2025LPL第二赛段",【2025LPL第二赛段】3月23日 JDG vs IG
英雄联盟lol全英雄教学，永久更新,lol超神解说lol,,1970-01-01 08:00:00,,0,0,111606,0,,,
【还有高手？】Nostalie钱赞企2025/3/27凌晨《英雄联盟LOL》,鬼娃娃华子,BV15QZTYeEzq,2025-03-27 11:38:17,400:24,10,22,999,0,电子竞技,"搞笑,LOL,英雄联盟,MOBA,钱赞企,Nostalie","Nostalie钱赞企，
斗鱼直播间142488"
15.7版本[完整]改动介绍:诺手E削弱!泽拉斯QWER全改动!格温QW削弱!泉水恢复改动!,LOL小绿毛资讯,BV1WqovY9EYq,2025-03-26 13:42:00,5:3,1202,4545,304300,246,电子竞技,"游戏,LOL,英雄联盟,游戏视频,电子竞技,爆料,资讯,版本改动,英雄联盟更新介绍,欢迎回归英雄联盟竞技场","15.7版本[完整]改动介绍-15.7版本预计4月2号更新（新皮肤更新后上线）
视频对你有帮助的话,不妨帮绿毛点个免费的赞呀(º﹃º )喜欢LOL最新资讯视频欢迎关注呀(=・ω・=)
绿毛在此感谢大家的支持,祝大家排位上大分,天天好心情(=・ω・=)"
【2025LPL第二赛段】3月26日 BLG vs EDG,哔哩哔哩英雄联盟赛事,BV1DPoiYKEnp,2025-03-26 21:19:11,56:53,681,1250,86870,90,电子竞技,"英雄联盟,BLG,电子竞技,LPL,EDG,游戏赛事,lol,2025LPL,LPL第二赛段,2025LPL第二赛段",【2025LPL第二赛段】3月26日 BLG vs EDG
【2025LPL第二赛段】3月23日 IG vs LGD,哔哩哔哩英雄联盟赛事,BV1wrXYYzEif,2025-03-23 17:10:11,70:37,3074,5645,672659,828,电子竞技,"英雄联盟,LGD,IG,电子竞技,LPL,游戏赛事,lol,2025LPL,LPL第二赛段,2025LPL第二赛段",【2025LPL第二赛段】3月23日 IG vs LGD
那一天，LOL玩家想起了被诗仙女支配的恐怖,火播君,BV14y4y1177v,2021-01-21 15:27:04,21:14,16462,25728,1366768,10379,电子竞技,"电子竞技,英雄联盟,LOL,搞笑,诗仙女,可爱,治愈,游戏视频,峡谷之巅",尸宝 直播间：https://www.huya.com/15057955
英雄联盟LOL王者教学：封魔剑魂永恩,lol超神解说lol,,1970-01-01 08:00:00,,0,0,4847,0,,,
【LOL英雄联盟】英雄联盟高手们的神操作精彩集锦,YouTube热门甄选,BV1FRpfeDE9L,2024-08-18 01:04:29,12:53,242,1032,90301,383,电子竞技,"LOL,英雄联盟,神操作,电子竞技,精彩集锦,MOBA,游戏集锦,lol","youtube
英雄联盟"
MVP！🤚🤪🤚!不用操作也能满血斩杀？lol最不需要操作的英雄！选到就是无敌！,上海滩许Van强,BV1Bw9GYBE5a,2025-02-28 19:17:33,11:33,5945,83893,1454000,6346,电子竞技,"英雄,搞笑,LOL,英雄联盟,三体人,电子竞技,MOBA,梅尔,小明剑魔,万物皆可游戏",
1级6神ad出门vs5个正常玩家！会赢吗？热气参战！【脑洞挑战】,布锅锅,BV1UgrtYNEu6,2025-01-05 11:00:00,59:1,11527,82663,3363873,7576,电子竞技,"搞笑,比赛,英雄联盟,挑战,电子竞技,金克斯,1v5,lol,游戏鉴赏家,英雄联盟最前线","这期你们想看的来了，6神ad1v5！会赢吗？
感谢本期参与嘉宾
挑战者：@热气re7  
五人小队：@阿帅派克  @阿皮apiOVO  @王氏上单  @冲男阿凉  @小白打野"
队友：这小丑，真见了世面了！,阳光男孩小丑熊,BV19tSXYME6g,2024-11-01 17:00:00,7:50,1871,99560,1443705,3610,电子竞技,"LOL,英雄联盟,电子竞技,骁骑,英雄联盟S14,英雄联盟S14征稿活动",0.0
一个十年LOL的老玩家真的玩不下去了,小含的树,BV1pTcneXEBp,2025-01-10 14:57:05,12:37,796,1781,108922,272,电子竞技,"乌鸦,英雄联盟,电子竞技,流浪法师,刀妹,弃坑,MOBA,lol",
英雄联盟LOL王者教学：解脱者塞拉斯,lol超神解说lol,,1970-01-01 08:00:00,,0,0,133,0,,,
双龙汇世界纪录：1秒31帧！天才，仅仅只是见我的门槛！！,布锅锅,BV1vNmUYDE5W,2024-11-11 20:00:35,28:23,14198,146962,3355361,24479,电子竞技,"解说,比赛,英雄联盟,电子竞技,暗影精灵,lol,游戏鉴赏家,政府补贴,厄斐琉斯,英雄联盟S14,英雄联盟S14征稿活动","来了来了！！！本次争夺冠军的三位选手的思路都让人震撼，但是最后的获胜者的脑洞，简直让人拍案叫绝！
这期依旧超级精彩，冠军帅爆了！一定要看到最后！！做了好久！求三连！！！
后期：@筱尘想吃猫猫虫  技术支持：@飞熊入梦狂雷渐起 "
【2025LPL第二赛段】3月26日 EDG vs WBG,哔哩哔哩英雄联盟赛事,BV1BuoqYDES5,2025-03-26 17:06:41,69:44,382,1268,81445,92,电子竞技,"英雄联盟,电子竞技,LPL,EDG,游戏赛事,lol,WBG,2025LPL,LPL第二赛段,2025LPL第二赛段",【2025LPL第二赛段】3月26日 EDG vs WBG
这是一场几乎不可能赢的对局,峡谷混学家,BV1oVoxYEE82,2025-03-25 18:05:24,6:23,1355,37751,555305,1514,电子竞技,"搞笑,娱乐,英雄联盟,下饭,上单,石头人,lol,欢迎回归英雄联盟竞技场",三连三连三连三连三连三连三连三连三连！！！
