,comment
0,这是教的python，不是教的英文，纠结这个干嘛
1,有没有一种可能，美音也不这么发……在元音之前难道不应该先关注辅音吗
2,马厩2333
3,chatgpt 语音那味
4,这是哪的口音
5,英美都不发“妈”好嘛，这是泰式发音hhh
6,<---因为很多人都有“通过纠正别人来证明自己”的倾向
7,module美音就是这样的
8,我是直接拿写脚本的，这还真不知道
9,是读“摸丢”啊，美式才读“妈久”
10,我一直念“莫丢了”，感谢纠正发音
11,我很想听听发音警察的发音是啥样
12,为什么你们在纠结读音？不是来着学习pythonde的吗？搞不懂
13,啊原来是这样
14,指当前文件夹里的
15,神奇的口音
16,from packageA.moduleA import x
17,不指定all的话会默认导入init文件内所有的非下划线开头的变量、类、函数
18,不要这么用，维护会死人的
19,英音和美音的差别是“摸久”和“妈久”，就没有读“摸丢”的
20,谁说这读音对的啊
21,放打印（即答
22,放import moduleA
23,测试弹幕
24,这英语太酸爽了
25,我还真不知道（）
26,作者懂英语，但只懂一半
27,关键是作者读音没问题，一群人byd说半天
28,马厩A
29,她好像讀成/tʂ/了？
30,我寻思虽然model音标是o，但架不住美国人就喜欢读a啊，module同理
31,<- 6666
32,说读音错的可以去查音标的，还有沙贝英语读音警察？
33,美音英音都应该是摸酒不是妈酒，但能听得懂就行没必要在这纠结什么发音，up说得完全听得懂。
34,麻旧
35,前排提示，关弹幕看
36,我不知道
37,好听
38,马厩是真没绷住，你但凡差个字典听一下也不至于在这英美口音
39,首页通知书
40,这个时候print的是__init__里面的对吗？moudleA里面的没有被执行是不是？
41,这不是变音，这是美式发音啊！没毛病。
42,魔女a
43,英语的重读好奇怪
44,魔法方法
45,妈肘
46,"美音就这么发, 你单发搜一下柯林斯字典的发音就知道了, 别误人子弟了"
47,这个是AI读的稿
48,很像java里的构造方法
49,如果不指定all会怎样
50,应该不是变音，可以说成这样既可以让人觉得可爱，又可以显得“标准”
51,她这个是变音吗
52,"英音发 mo, 美音发 ma"
53,這不很明顯是真人語音嗎 怎還有小學生在喊是Ai
54,不好好看干货，跑进来评价别人口音，咋不直接去看英语教学呢，点进来就是为了指点别人口音的？
55,听了好几个，小姐姐讲的好清楚，好适合小白
56,蚂蚱a
57,奇怪的发音
58,枚
59,up的像美音
60,猫九
61,刚知道 ==
62,放package的注释
63,module的d可以发清浊音
64,英/ ˈmɒdjuːl / 美/ ˈmɑːdʒuːl /
65,奇怪的发音
66,这还是国内吗
67,相当于html的index
68,妈厩儿
69,难怪blender插件只有__init__.py
70,魔女A
71,凡是质疑up发音的，先质疑一下自己的英语水平吧
72,夹子音
73,妈久
74,本来就是对的呀
75,vscode 插件
76,我才知道
77,乍一听标准的读音还有些不习惯
78,都会自动生成的
79,这口音完美
80,Idk
81,u声音听的很有感觉
82,美式就是发ma:，一点没错，嘲笑别人之前自己先查一下吧
83,不是，你们是来学英语的吗，计较这个干啥
84,马厩A 哈哈哈哈
85,majiu
86,把逼装进去
87,001
88,因为是来学英语的
89,我并不知道
